media href,image src,product-card__title,tw-text-[rgba(var(--color-foreground))],tw-text-[#a38d6f],opinew-stars-plugin-link href,product-form__noscript-wrapper-template--16613934661802__product-grid,Chrome_Top_Notes,Chrome_Heart_Notes,Chrome_Base_Notes,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/1001-nights-concentrated-perfume-perfume-30ml-for-unisex,https://in.ajmal.com/cdn/shop/files/1001NIGHTS_CONCENTRATED_30ML_1.jpg?v=1719382599&width=1600,1001 NIGHTS Non-Alcoholic Attar 30ML for Unisex,"₹6,600.00","₹6,600",https://in.ajmal.com/products/1001-nights-concentrated-perfume-perfume-30ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097058103466""
          >Default Title - ₹6,600.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Spicy Smoky  , Floral Spicy  , Musky Woody,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/dahnul-oudh-khalifa-concentrated-perfume-perfume-3ml-for-unisex,https://in.ajmal.com/cdn/shop/files/DHANULOUDHKHALIFA_CONCENTRATED_3ML_2.jpg?v=1719382146&width=1600,DHANUL OUDH KHALIFA Non-Alcoholic Attar 3ML for Unisex,"₹4,250.00","₹5,000",https://in.ajmal.com/products/dahnul-oudh-khalifa-concentrated-perfume-perfume-3ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097057480874""
          >Default Title - ₹4,250.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Oudhy  , Musky  , Oudhy,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/dahnul-oudh-raashid-concentrated-perfume-perfume-3ml-for-unisex,https://in.ajmal.com/cdn/shop/files/DHANULOUDHRAASHID_CONCENTRATED_3ML_1.jpg?v=1719381989&width=1600,DHANUL OUDH RAASHID Non-Alcoholic Attar 3ML for Unisex,"₹2,550.00","₹3,000",https://in.ajmal.com/products/dahnul-oudh-raashid-concentrated-perfume-perfume-3ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097057415338""
          >Default Title - ₹2,550.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Oudhy  , Oudhy  , Oudhy,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/buraq-non-alcoholic-concentrated-perfume-unisex-attar-men-women-20-ml,https://in.ajmal.com/cdn/shop/files/BURAQ_CONCENTRATED_20ML_1.png?v=1746422401&width=1000,BURAQ Non-Alcoholic Attar 20ML for Unisex,"₹2,250.00","₹2,500",https://in.ajmal.com/products/buraq-non-alcoholic-concentrated-perfume-unisex-attar-men-women-20-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097094967466""
          >Default Title - ₹2,250.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",FRUITY (APPLE)  ," SPICY, WOODY (CINNAMON, SAFFRON, CLOVE)  "," AMBERY, BALSAMIC, WOODY (AMBER, LABDANUM, CYPRIOL)",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/musk-khas-non-alcoholic-attar-3-ml-for-unisex,https://in.ajmal.com/cdn/shop/files/MUSKKHAS_CONCENTRATED_3ML_1.jpg?v=1756451172&width=1600,Musk Khas Non-Alcoholic Attar 3 ML for Unisex,"₹2,200.00",,https://in.ajmal.com/products/musk-khas-non-alcoholic-attar-3-ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46917161779370""
          >Default Title - ₹2,200.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Oudhy  , Oudhy  , Oudhy,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-series-concentrated-perfume-pack-of-4,https://in.ajmal.com/cdn/shop/files/ROYAL_CP_GIFTSET_20ML_1_664917fc-1a6c-4fba-8d41-891550e232fc.jpg?v=1742897388&width=1600,ROYAL Non-Alcoholic Attar Giftpack 20ML for Unisex,"₹2,000.00","₹2,500",https://in.ajmal.com/products/royal-series-concentrated-perfume-pack-of-4,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46624863682730""
          >Default Title - ₹2,000.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>","Royal Love - White Florals, Fruity Misk-Rijali - Musky Misk-Sapphire - Musky Oud-Kuwaiti - Cypriol, Pink Pepper,Cedarwood  "," Royal Love - Woody Misk-Rijali - Musky Misk-Sapphire - Musky Oud-Kuwaiti - Patchouli, Amber  "," Royal Love - Sandalwood, Hazelnut Misk-Rijali - Floral Misk-Sapphire - Musky, Powdery Oud-Kuwaiti - Vetiver, Raspberry, Musk",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/oudh-mukhallat-concentrated-perfume-perfume-6ml-for-unisex,https://in.ajmal.com/cdn/shop/files/OUDHMUKHALLAT_CONCENTRATED_6ML_1.jpg?v=1719382331&width=1600,OUDH MUKHALLAT Non-Alcoholic Attar 6ML for Unisex,"₹2,000.00","₹2,500",https://in.ajmal.com/products/oudh-mukhallat-concentrated-perfume-perfume-6ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097057677482""
          >Default Title - ₹2,000.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Floral Spicy  , Fruity Musky  , Musky Woody,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/mizyaan-concentrated-perfume-perfume-14ml-for-unisex,https://in.ajmal.com/cdn/shop/files/MIZYAAN_CONCENTRATED_14ML_1.jpg?v=1719382552&width=1600,MIZYAAN Non-Alcoholic Attar 14ML for Unisex,"₹1,600.00","₹2,000",https://in.ajmal.com/products/mizyaan-concentrated-perfume-perfume-14ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select
        name=""id""
        id=""Variants-template--16613934661802__product-grid""
        class=""select__select""
        form=""""
      ><option
            
              selected=""selected""
            
            
            value=""46097058037930""
          >Default Title - ₹1,600.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</svg>

    </div>
  </div>",Floral Spicy  , Floral Musky  , Woody Ambery,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/khofooq_concentrated_18ml,https://in.ajmal.com/cdn/shop/files/KHOFOOQ_CONCENTRATED_18ML_2_cc200e04-c2d7-4b71-b8c1-2c04c6801f44.png?v=1744884422&width=1600,KHOFOOQ Non-Alcoholic Attar 18ML for Unisex,"₹1,200.00","₹2,000",https://in.ajmal.com/products/khofooq_concentrated_18ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46726370689194"">Default Title - ₹1,200.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Fruity Floral  , Floral Spicy  , Musky Woody,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/zabeel-attar-concentrated-perfume-unisex-long-lasting-attar-12-ml,https://in.ajmal.com/cdn/shop/files/ZABEEL_12ML_1.jpg?v=1719817119&width=1600,ZABEEL Non-Alcoholic Attar 12ML for Unisex,"₹1,190.00","₹1,700",https://in.ajmal.com/products/zabeel-attar-concentrated-perfume-unisex-long-lasting-attar-12-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097090576554"">Default Title - ₹1,190.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","floral citrus (hyacinth, bergamot)  "," spicy floral (clove, jasmine)  "," woody musky (patchouli, oakmoss, vetiver)",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/kandeel-concentrated-perfume-perfume-12ml-for-unisex,https://in.ajmal.com/cdn/shop/files/KANDEEL_CONCENTRATED_12ML_2.jpg?v=1719382571&width=1600,KANDEEL Non-Alcoholic Attar 12ML for Unisex,"₹1,185.00","₹1,975",https://in.ajmal.com/products/kandeel-concentrated-perfume-perfume-12ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097058070698"">Default Title - ₹1,185.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","Floral (Jasmine, Rose )  ", Musky ( Musk)  ," Woody Ambery( Guaiac wood , Cashmerewood , Cedarwood )",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/colaba-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,https://in.ajmal.com/cdn/shop/files/COLABAMUKHALLAT_CONCENTRATED_12ML_1.jpg?v=1719382886&width=1600,COLABA MUKHALLAT Non-Alcoholic Attar 14ML for Unisex,"₹1,050.00","₹1,500",https://in.ajmal.com/products/colaba-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097058201770"">Default Title - ₹1,050.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Fresh Floral  , Spicy Floral  , Ambery Woody Musky,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/cd-99-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,https://in.ajmal.com/cdn/shop/files/CD99MUKHALLAT_CONCENTRATED_14ML_1.png?v=1746422459&width=1600,CD99 MUKHALLAT Non-Alcoholic Attar 14ML for Unisex,"₹1,050.00","₹1,500",https://in.ajmal.com/products/cd-99-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097057972394"">Default Title - ₹1,050.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Floral  , Spicy  , Ambery Musky,,,,,,,,,,,,
